Human,Algorithm,Runtime
00336840,01434026,1.8608450889587402
01197930,01197922,2.230648994445801
01197935,00345000,3.855492115020752
01199367,00345000,2.5812458992004395
01199419,01199398,1.8347887992858887
01199420,01199456,2.052032947540283
01199477,01199446,2.6188321113586426
0119947960,01199479,3.2416961193084717
01199500,01199963,2.7782299518585205
01199980,01199997,2.5676538944244385
01200000,00345000,5.8758909702301025
01209717,00345000,6.568742036819458
01209790,01209707,12.235919952392578
01209797,01209707,9.765727996826172
01210000,00345000,4.1383421421051025
01211290,01211292,2.3353030681610107
01211350,01211299,1.5456819534301758
01299130,01299028,2.132852077484131
01300500,01300863,2.110153913497925
01300900,01300496,2.1061038970947266
01301500,00345000,2.0242271423339844
01301830,01301880,4.725091218948364
01301900,00345000,2.313380718231201
01302006,00345000,1.8771839141845703
01302007,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01302008,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01302009,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01302050,00345000,3.0000481605529785
01302125,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01302150,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01302200,00345000,1.9256219863891602
01302250,01302489,2.591151714324951
01302300,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01302500,01302362,1.9383769035339355
01302600,01302754,1.9048430919647217
01302800,01302602,2.0826830863952637
01302890,01302899,2.147634983062744
01303000,01303190,2.115485191345215
01303295,01303194,1.7226879596710205
01303500,01303187,1.969398021697998
01303550,01303591,1.9416711330413818
01303600,01303710,2.4584789276123047
01303699,0130369923,1.9627149105072021
01303750,01303989,2.5478227138519287
01304000,01303730,2.1398909091949463
01304050,00345000,1.7157697677612305
01304057,00345000,2.4803051948547363
01304059,0130405912,1.7229437828063965
01304060,00345000,1.792600154876709
01304065,ERROR: list index out of range,NaN
01304070,ERROR: list index out of range,NaN
01304075,ERROR: list index out of range,NaN
01304098,01304099,2.0786359310150146
01304100,00345000,2.0266599655151367
01304200,01304200,1.5718250274658203
01304250,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01304280,00345000,1.7673819065093994
01304295,ERROR: 'int' object has no attribute 'extension',NaN
01304380,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01304410,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01304420,01304403,1.6268351078033447
01304430,01304432,1.717423677444458
01304499,01304498,1.5809221267700195
01304500,00345000,2.255628824234009
01304510,01304510,1.7354841232299805
01304530,01304535,1.7113349437713623
01304560,ERROR: list index out of range,NaN
01304568,01304571,1.501142978668213
01304574,01304563,1.5840601921081543
01304590,01304561,2.917907953262329
01304595,01304595,1.5860753059387207
01304597,00345000,1.7584528923034668
01304600,01304597,1.484935998916626
01304655,01304658,1.7817268371582031
01304660,01304656,2.760113000869751
01304665,01304657,2.180793046951294
01304672,00345000,1.7828481197357178
01304675,00345000,1.6563119888305664
01304678,00345000,1.6711409091949463
01304683,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01304686,00345000,2.460937976837158
01304689,00345000,1.6590118408203125
01304695,01304690,2.1876087188720703
01304697,01304699,1.598647117614746
01304700,01304696,1.5812339782714844
01304702,00345000,2.3967278003692627
01304705,01304695,1.9345879554748535
01304730,00345000,1.7574658393859863
01304733,01304732,1.6577420234680176
01304734,01304732,1.6841230392456055
01304738,00345000,2.1624057292938232
01304740,01304740,2.1780309677124023
01304745,00345000,1.7223279476165771
01304746,ERROR: 'int' object has no attribute 'extension',NaN
01304750,ERROR: 'int' object has no attribute 'extension',NaN
01304755,01304755,1.6531767845153809
01304760,01304777,3.2045340538024902
01304779,0130477968,1.3433558940887451
01304860,01304901,2.219644069671631
01304920,01304929,2.799607038497925
01304930,ERROR: 'int' object has no attribute 'extension',NaN
01304940,ERROR: 'int' object has no attribute 'extension',NaN
01304950,01304958,1.9200060367584229
01304958,00345000,2.223738193511963
01304959,01304958,3.61922287940979
01304970,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01304980,00345000,2.4241108894348145
01305000,01305035,1.8456430435180664
01305040,ERROR: list index out of range,NaN
01305095,00345000,1.8734619617462158
01305100,01305095,1.3583388328552246
01305200,01305101,2.393810987472534
01305207,ERROR: list index out of range,NaN
01305400,00345000,1.8053131103515625
01305490,01305490,2.0849320888519287
01305500,ERROR: 'int' object has no attribute 'extension',NaN
01305575,ERROR: list index out of range,NaN
01305800,01305996,1.6308221817016602
01306195,01306199,1.6630678176879883
01306300,01306199,2.283540964126587
01306390,01306397,2.3240902423858643
01306402,01306095,3.537346839904785
01306405,01306413,1.6434478759765625
01306415,00345000,2.03826904296875
01306440,01306454,2.272922992706299
01306495,ERROR: calculateUpstreamDistances() [Error]: Took too,NaN
01306499,ERROR: calculateUpstreamDistances() [Error]: Took too,NaN
01306500,01306499,1.3292450904846191
01306805,01306796,1.552610158920288
01307000,01307098,1.3605482578277588
01307100,01307149,1.7909150123596191
01307150,01307283,4.4433913230896
01307290,01307297,1.8900837898254395
01307525,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01307600,00345000,2.11329984664917
01307620,01307667,4.2105700969696045
01307760,00345000,1.6551060676574707
01307780,01307760,1.3483052253723145
01307800,ERROR: 'int' object has no attribute 'extension',NaN
01307900,00345000,2.2816150188446045
01307920,01307900,1.5539040565490723
01307950,01307969,1.5422050952911377
01308300,01308308,1.8124239444732666
01308310,01308438,1.750694990158081
01308420,01308404,1.7509980201721191
01308500,01308598,2.0165860652923584
01308710,01309096,3.959908962249756
01308880,00345000,1.841869831085205
01308900,01308880,1.3819568157196045
01308950,00345000,2.2747318744659424
01309100,01309226,3.979889154434204
01309170,01309170,1.3544130325317383
01309200,01309170,1.344008207321167
01309225,01309098,1.4491589069366455
01309295,01309299,1.7589192390441895
01309300,ERROR: Error: Unimplemented conflicting series check!,NaN
01309340,ERROR: Error: Unimplemented conflicting series check!,NaN
01309400,ERROR: Error: Unimplemented conflicting series check!,NaN
01309500,01309576,1.4512717723846436
01309580,ERROR: Error: Unimplemented conflicting series check!,NaN
01309680,01309699,2.196712017059326
01309990,0130995059,1.507932186126709
01310470,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
013104703,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
013104707,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01310472,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
013104721,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
013104722,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
013104723,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01310500,01310625,5.717710971832275
01310521,ERROR: Error: Unimplemented conflicting series check!,NaN
01310600,ERROR: Error: Unimplemented conflicting series check!,NaN
01310740,01310492,5.432817697525024
0131079450,01310796,1.6026911735534668
01310800,01311002,2.1889679431915283
01311000,01310798,2.0855579376220703
01311143,ERROR: Error: Unimplemented conflicting series check!,NaN
01311145,00345000,2.6973297595977783
01311148,00345000,2.419445276260376
01311151,01311148,2.1941640377044678
01311200,01311486,5.897255182266235
01311826,01311823,2.0722391605377197
01311828,01311839,5.419268846511841
01311830,01311936,6.466400146484375
01311850,01311490,8.925851821899414
01311875,00345000,4.0935869216918945
01311900,00345000,6.064403295516968
01311940,01311902,3.4150547981262207
01311951,01311956,4.288174152374268
01312000,00345000,3.0613200664520264
01312710,01312758,2.6832211017608643
01313000,00345000,4.237449884414673
01313500,01313594,1.8149821758270264
01314000,ERROR: 'int' object has no attribute 'extension',NaN
01314200,00345000,4.345591068267822
01315000,01314962,5.3851258754730225
01315081,01314004,3.3392739295959473
01315226,00345000,3.0486159324645996
01315227,01315226,3.415254831314087
01315490,01315468,6.133656024932861
01315500,01315999,1.9890758991241455
01316010,00345000,3.457267999649048
01316190,01316195,1.8044207096099854
01316300,01316324,1.5781769752502441
01316420,01316429,2.0295727252960205
01316500,01316795,2.1233789920806885
01316680,01316749,4.333824872970581
01316688,00345000,1.824605941772461
013166885,01316688,1.5839190483093262
01316795,01316792,1.8815040588378906
01316800,01316496,2.843620777130127
01316808,0131681548,2.0755503177642822
01316815,01316804,1.7832560539245605
01316820,0131681821,1.8100299835205078
01316825,01316753,2.4245858192443848
01316895,00345000,2.5149450302124023
01316900,01316900,1.7703349590301514
01317000,00345000,2.1698999404907227
01317500,01317994,1.5848817825317383
01318000,00345000,2.2010338306427
01318470,01318468,2.2913849353790283
01318472,01318477,2.102307081222534
01318500,01325004,1.4890851974487305
01318790,01318794,1.6511881351470947
01318800,01318806,1.6976139545440674
01319000,01319078,2.9010632038116455
01319110,01319053,2.4160149097442627
01319153,01311151,1.3567628860473633
01319500,01320796,1.9879789352416992
01321000,01321003,2.0869507789611816
01321015,01321226,3.153831958770752
01321050,01321063,1.600255012512207
01321500,01321622,2.326442003250122
01322000,01321793,2.5073390007019043
01322490,01322498,1.5478332042694092
01322500,01322513,2.731132984161377
01322510,01322497,2.6698129177093506
01322690,00345000,2.8535573482513428
